,user_followers,user_friends,user_favourites,user_verified,Sentiment
406,28.0,69.0,4.0,0,1
407,186.0,347.0,5020.0,0,1
408,4237.0,2942.0,126176.0,0,1
409,114.0,615.0,3298.0,0,2
410,4150.0,0.0,1802.0,0,2
411,217.0,116.0,2862.0,0,1
412,693.0,136.0,8.0,0,1
413,1.0,7.0,1.0,0,1
414,204.0,72.0,1.0,0,1
415,292.0,332.0,7.5,0,0
416,167.0,68.0,14.0,0,1
417,533.0,0.0,69.0,0,0
418,42.0,201.0,12050.0,0,1
419,4052.0,1.0,9.0,0,1
420,315.0,1173.0,3803.0,0,2
421,112.0,284.0,647.0,0,1
422,178.0,645.0,2234.0,0,1
423,1153.0,31.0,3954.0,0,1
424,3131.0,1.0,18.0,0,1
425,1091.0,614.0,225.0,0,2
426,1036.0,0.0,8.0,0,1
427,89.0,632.0,1708.0,0,1
428,107.0,222.0,63.0,0,2
429,5.0,14.0,31.0,0,2
430,16.0,135.0,160.5,0,2
431,40.0,29.0,290.0,0,2
432,269.0,402.0,468.5,0,2
433,112.0,284.0,647.0,0,1
434,204.0,72.0,1.0,0,1
435,204.0,72.0,1.0,0,0
436,204.0,72.0,1.0,0,0
